tournament,team,league,rank,tourn_id
Spring 2022 Play Ins,valiance-pro-game,esports_balkan_league,0.5653061947950333,107893136888836553
Spring 2022 Play Ins,karmine-corp,lfl,0.5247684639443045,107893136888836553
Spring 2022 Play Ins,mcon-lg-ultragear,elite_series,0.4949414338730409,107893136888836553
Spring 2022 Play Ins,krc-genk-esports,elite_series,0.46810821821351306,107893136888836553
Spring 2022 Play Ins,topo-centras-iron-wolves,ultraliga,0.2851749479024145,107893136888836553
Spring 2022 Play Ins,esuba,hitpoint_masters,0.2700388588017345,107893136888836553
Spring 2022 Play Ins,vitalitybee,lfl,0.252035841694583,107893136888836553
Spring 2022 Play Ins,unicorns-of-love-sexy-edition,primeleague,0,107893136888836553
Spring 2023,g2-esports,lec,1,109919226376366902
Spring 2023,team-heretics-lec,lec,0.8646310949754337,109919226376366902
Spring 2023,team-bds,lec,0.8292357660772228,109919226376366902
Spring 2023,team-vitality,lec,0.7201394640639414,109919226376366902
Spring 2023,sk-gaming,lec,0.6962373831593297,109919226376366902
Spring 2023,mad-lions,lec,0.5724534703204555,109919226376366902
Spring 2023,rogue,lec,0.5065593238371848,109919226376366902
Spring 2023,excel,lec,0.36124584176330565,109919226376366902
Spring 2023,astralis,lec,0.23904845566597946,109919226376366902
Spring 2023,fnatic,lec,0,109919226376366902
Summer 2022 Main Event,x7,NA,1,108746562333593659
Summer 2022 Main Event,ago-rogue,NA,0.9911120517461565,108746562333593659
Summer 2022 Main Event,sk-gaming-prime,primeleague,0.9672450757204156,108746562333593659
Summer 2022 Main Event,schalke-04,primeleague,0.9583678657189165,108746562333593659
Summer 2022 Main Event,ldlc-ol,lfl,0.7758684776393271,108746562333593659
Summer 2022 Main Event,team-bds-academy,lfl,0.7749189883480601,108746562333593659
Summer 2022 Main Event,giants,superliga,0.7394572148494477,108746562333593659
Summer 2022 Main Event,zero-tenacity,ultraliga,0.5856059139061297,108746562333593659
Summer 2022 Main Event,team-heretics-sl,superliga,0.5708709509469456,108746562333593659
Summer 2022 Main Event,dusty,NA,0.5399322611992772,108746562333593659
Summer 2022 Main Event,gameward,lfl,0.418403244806342,108746562333593659
Summer 2022 Main Event,anorthosis-famagusta-esports,greek_legends,0.33365925374708866,108746562333593659
Summer 2022 Main Event,macko-esports,pg_nationals,0.22092242890530836,108746562333593659
Summer 2022 Main Event,valiance-pro-game,esports_balkan_league,0.19514950957138563,108746562333593659
Summer 2022 Main Event,vitalitybee,lfl,0.19030886301846225,108746562333593659
Summer 2022 Main Event,unicorns-of-love-sexy-edition,primeleague,0,108746562333593659
Summer 2022 Play Ins,krc-genk-esports,elite_series,1,108746545967156991
Summer 2022 Play Ins,team-phantasma,greek_legends,0.8809520249794484,108746545967156991
Summer 2022 Play Ins,for-the-win-esports,liga_portuguesa,0.877507015120964,108746545967156991
Summer 2022 Play Ins,white-dragons,liga_portuguesa,0.7658712418840132,108746545967156991
Summer 2022 Play Ins,anc-outplayed,pg_nationals,0.7159293585820623,108746545967156991
Summer 2022 Play Ins,vitalitybee,lfl,0.6838769427278036,108746545967156991
Summer 2022 Play Ins,entropiq,hitpoint_masters,0.6363507453342523,108746545967156991
Summer 2022 Play Ins,crvena-zvezda-esports,esports_balkan_league,0.6345254617104422,108746545967156991
Summer 2022 Play Ins,anorthosis-famagusta-esports,greek_legends,0.630490097191474,108746545967156991
Summer 2022 Play Ins,esuba,hitpoint_masters,0.5861567965632075,108746545967156991
Summer 2022 Play Ins,echo-zulu,NA,0.4927002530956006,108746545967156991
Summer 2022 Play Ins,illuminar-gaming,ultraliga,0.46094308299874764,108746545967156991
Summer 2022 Play Ins,sk-gaming-prime,primeleague,0.4237292580224681,108746545967156991
Summer 2022 Play Ins,gameward,lfl,0.35683506511293767,108746545967156991
Summer 2022 Play Ins,bisons-eclub,superliga,0.26684222797429097,108746545967156991
Summer 2022 Play Ins,jdxl,NA,0,108746545967156991
Summer 2023,sk-gaming-prime,primeleague,1,110535609415063567
Summer 2023,maryville-university,north_american_challenger_league,1,110574243270525539
Summer 2023,fastpay-wildcats,turkiye-sampiyonluk-ligi,0.9327120933274443,110535609415063567
Summer 2023,macko-esports,pg_nationals,0.8498516296528037,110535609415063567
Summer 2023,karmine-corp,lfl,0.8446885599997722,110535609415063567
Summer 2023,supernova,north_american_challenger_league,0.823688975548015,110574243270525539
Summer 2023,entropiq,hitpoint_masters,0.8075277606316138,110535609415063567
Summer 2023,szaty-bobra,ultraliga,0.7974953294825,110535609415063567
